Log created: 2025-06-18 00:01:41
Type: backup
[2025-06-18 00:01:44][notice]Start backing up.
[2025-06-18 00:01:44][notice]server info fcgi:Off max execution time: 300 wp version:6.8.1 php version:7.4.16 db version:5.7.24 php ini:safe_mode: memory_limit:512M memory_get_usage:173,11 MB memory_get_peak_usage:173,81 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2025-06-18 00:01:44][notice]Prepare to backup backup_db files.
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_messages
[2025-06-18 00:01:45][notice]Preparing to dump table wp_ctf_posts
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_mailing_queue
[2025-06-18 00:01:45][notice]Preparing to dump table wp_stm_wcmap_prod_atts_relation
[2025-06-18 00:01:45][notice]Preparing to dump table wp_yoast_indexable_hierarchy
[2025-06-18 00:01:45][notice]Preparing to dump table wp_wc_admin_note_actions
[2025-06-18 00:01:45][notice]Preparing to dump table wp_actionscheduler_actions
[2025-06-18 00:01:45][notice]Preparing to dump table wp_wc_admin_notes
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbtt_feeds
[2025-06-18 00:01:45][notice]Preparing to dump table wp_cff_feeds
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbtt_sources
[2025-06-18 00:01:45][notice]Preparing to dump table wp_wc_product_attributes_lookup
[2025-06-18 00:01:45][notice]Preparing to dump table wp_wc_product_download_directories
[2025-06-18 00:01:45][notice]Preparing to dump table wp_cff_feed_caches
[2025-06-18 00:01:45][notice]Preparing to dump table wp_wc_rate_limits
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_services
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbi_feeds
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_schedule_item_breaks
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_payments
[2025-06-18 00:01:45][notice]Preparing to dump table wp_ctf_feed_caches
[2025-06-18 00:01:45][notice]Preparing to dump table wp_ctf_feeds
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_mailing_campaigns
[2025-06-18 00:01:45][notice]Preparing to dump table wp_ctf_feeds_posts
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbi_feed_caches
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sby_feeds
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_staff_schedule_items
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbr_sources
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbr_feed_caches
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sby_feed_caches
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbr_feeds
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_holidays
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_mailing_list_recipients
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbtt_feed_caches
[2025-06-18 00:01:45][notice]Preparing to dump table wp_usermeta
[2025-06-18 00:01:45][notice]Preparing to dump table wp_term_taxonomy
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_appointments
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbtt_tiktok_posts
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbtt_feed_locator
[2025-06-18 00:01:45][notice]Preparing to dump table wp_cff_sources
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_sent_notifications
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_staff_services
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_sessions
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_sub_services
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbi_sources
[2025-06-18 00:01:45][notice]Preparing to dump table wp_cff_facebook_feed_locator
[2025-06-18 00:01:45][notice]Preparing to dump table wp_revslider_sliders
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_shop
[2025-06-18 00:01:45][notice]Preparing to dump table wp_terms
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_news
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbr_reviews_posts
[2025-06-18 00:01:45][notice]Preparing to dump table wp_revslider_css
[2025-06-18 00:01:45][notice]Preparing to dump table wp_bookly_customer_appointments
[2025-06-18 00:01:45][notice]Preparing to dump table wp_yoast_indexable
[2025-06-18 00:01:45][notice]Preparing to dump table wp_revslider_slides
[2025-06-18 00:01:45][notice]Preparing to dump table wp_sbi_instagram_posts
[2025-06-18 00:01:45][notice]Preparing to dump table wp_postmeta
[2025-06-18 00:01:45][notice]Preparing to dump table wp_posts
[2025-06-18 00:01:45][notice]Preparing to dump table wp_options
[2025-06-18 00:01:45][notice]Exporting database finished.
[2025-06-18 00:01:45][notice]Start compressing database
[2025-06-18 00:01:45][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_db.sql
[2025-06-18 00:01:45][notice]Adding zip files completed.localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_db.part001.zip, filesize: 707,00 KB
[2025-06-18 00:01:46][notice]Compressing database completed
[2025-06-18 00:01:46][notice]Backing up backup_db completed.
[2025-06-18 00:01:46][notice]Prepare to backup backup_themes files.
[2025-06-18 00:01:46][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_themes.part001.zip index:1857
[2025-06-18 00:02:23][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_themes.part001.zip success. index:1857 file size:54,07 MB
[2025-06-18 00:02:23][notice]Backing up backup_themes completed.
[2025-06-18 00:02:23][notice]Prepare to backup backup_plugin files.
[2025-06-18 00:02:33][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_plugin.part001.zip index:13378
[2025-06-18 00:05:22][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_plugin.part001.zip success. index:13378 file size:67,61 MB
[2025-06-18 00:05:23][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_plugin.part002.zip index:19949
[2025-06-18 00:07:36][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_plugin.part002.zip success. index:19949 file size:22,80 MB
[2025-06-18 00:07:36][notice]Backing up backup_plugin completed.
[2025-06-18 00:07:36][notice]Prepare to backup backup_uploads files.
[2025-06-18 00:07:36][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_uploads.part001.zip index:2075
[2025-06-18 00:07:42][notice]Compressing zip file:localhost_motogrua_wpvivid-004984bbfdd76_2025-06-18-00-01_backup_uploads.part001.zip success. index:2075 file size:85,91 MB
[2025-06-18 00:07:42][notice]Backing up backup_uploads completed.
[2025-06-18 00:07:42][notice]Backup cancelled.
