Log created: 2025-07-15 18:27:41
Type: backup
[2025-07-15 18:27:45][notice]Preparing to dump table wp_nextend2_smartslider3_sliders
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sbi_sources
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sbtt_feed_locator
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sby_feed_locator
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sbi_instagram_feed_locator
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sbtt_tiktok_posts
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sbr_feed_locator
[2025-07-15 18:27:45][notice]Preparing to dump table wp_revslider_sliders
[2025-07-15 18:27:45][notice]Preparing to dump table wp_bookly_shop
[2025-07-15 18:27:45][notice]Preparing to dump table wp_terms
[2025-07-15 18:27:45][notice]Preparing to dump table wp_nextend2_section_storage
[2025-07-15 18:27:45][notice]Preparing to dump table wp_bookly_news
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sbr_reviews_posts
[2025-07-15 18:27:45][notice]Preparing to dump table wp_revslider_css
[2025-07-15 18:27:45][notice]Preparing to dump table wp_bookly_customer_appointments
[2025-07-15 18:27:45][notice]Preparing to dump table wp_revslider_slides
[2025-07-15 18:27:45][notice]Preparing to dump table wp_sbi_instagram_posts
[2025-07-15 18:27:45][notice]Preparing to dump table wp_nextend2_smartslider3_slides
[2025-07-15 18:27:45][notice]Preparing to dump table wp_yoast_indexable
[2025-07-15 18:27:45][notice]Preparing to dump table wp_postmeta
[2025-07-15 18:27:45][notice]Preparing to dump table wp_posts
[2025-07-15 18:27:45][notice]Preparing to dump table wp_options
[2025-07-15 18:27:45][notice]Exporting database finished.
[2025-07-15 18:27:45][notice]Start compressing database
[2025-07-15 18:27:45][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_db.sql
[2025-07-15 18:27:45][notice]Adding zip files completed.localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_db.part001.zip, filesize: 971,44 KB
[2025-07-15 18:27:45][notice]Compressing database completed
[2025-07-15 18:27:45][notice]Backing up backup_db completed.
[2025-07-15 18:27:45][notice]Prepare to backup backup_themes files.
[2025-07-15 18:27:46][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_themes.part001.zip index:1858
